orthogroup	gene	annot
OG0000000	YuYa2v21020365m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21020914m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21022404m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21023191m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21023618m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21023711m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21023938m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21024695m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21024916m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21025354m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21025448m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21025475m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21025851m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21026709m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21026942m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21026962m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21027473m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21028236m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21029461m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21029700m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21030472m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21032357m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21033732m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21035502m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21035506m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21036310m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21036530m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21036618m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21037296m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21037412m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21038030m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21039774m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21039787m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21040402m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21041182m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21041338m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21042713m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21044328m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21044370m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21044594m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21044784m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21044851m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21045435m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21045775m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21046047m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21046143m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21046464m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21046804m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21046941m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21047191m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21047446m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21047734m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21048361m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21048622m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21049384m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21049674m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21049935m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21051493m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21051716m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21052181m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21052555m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21052993m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21053392m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21053416m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21053547m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21054131m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21055552m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21056256m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21056876m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21057099m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21058018m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21058343m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21058492m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21058494m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21058600m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21059805m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21060131m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21060503m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21060939m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21061124m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21061539m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21062397m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21062605m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21064875m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21065113m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21065130m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21065245m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21066014m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21066107m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21066413m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21066530m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21067192m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21068034m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21068309m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21069030m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21069165m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21070874m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21071725m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21071745m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21072100m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21072230m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21072317m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21073246m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21073827m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21073901m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21074641m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21075726m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21075727m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21076482m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21076604m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21077468m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21078035m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21079136m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21079929m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21080341m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21081486m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21082484m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21083172m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21084493m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21084901m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21085017m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21085581m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21085644m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21086650m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21087984m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21088655m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21088671m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21090211m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21091477m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21092349m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21093564m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21094256m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21094258m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21094510m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21094722m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21095468m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21095606m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000000	YuYa2v21095793m	Pentatricopeptide repeat (PPR-like) superfamily protein
OG0000001	YuYa2v21003992m	FAR1-related sequence 6
OG0000001	YuYa2v21007297m	FAR1-related sequence 6
OG0000001	YuYa2v21007937m	FAR1-related sequence 6
OG0000001	YuYa2v21009870m	FAR1-related sequence 6
OG0000001	YuYa2v21010016m	FAR1-related sequence 6
OG0000001	YuYa2v21010026m	FAR1-related sequence 6
OG0000001	YuYa2v21014287m	FAR1-related sequence 6
OG0000001	YuYa2v21024198m	FAR1-related sequence 6
OG0000001	YuYa2v21025675m	FAR1-related sequence 6
OG0000001	YuYa2v21027474m	FAR1-related sequence 6
OG0000001	YuYa2v21027704m	FAR1-related sequence 6
OG0000001	YuYa2v21028969m	FAR1-related sequence 6
OG0000001	YuYa2v21029173m	FAR1-related sequence 6
OG0000001	YuYa2v21033737m	FAR1-related sequence 6
OG0000001	YuYa2v21034228m	FAR1-related sequence 6
OG0000001	YuYa2v21035544m	FAR1-related sequence 6
OG0000001	YuYa2v21039577m	FAR1-related sequence 6
OG0000001	YuYa2v21041446m	FAR1-related sequence 6
OG0000001	YuYa2v21041503m	FAR1-related sequence 6
OG0000001	YuYa2v21044798m	FAR1-related sequence 6
OG0000001	YuYa2v21045209m	FAR1-related sequence 6
OG0000001	YuYa2v21046711m	FAR1-related sequence 6
OG0000001	YuYa2v21049319m	FAR1-related sequence 6
OG0000001	YuYa2v21049321m	FAR1-related sequence 6
OG0000001	YuYa2v21049774m	FAR1-related sequence 6
OG0000001	YuYa2v21052765m	FAR1-related sequence 6
OG0000001	YuYa2v21053593m	FAR1-related sequence 6
OG0000001	YuYa2v21053685m	FAR1-related sequence 6
OG0000001	YuYa2v21054340m	FAR1-related sequence 6
OG0000001	YuYa2v21055462m	FAR1-related sequence 6
OG0000001	YuYa2v21059779m	FAR1-related sequence 6
OG0000001	YuYa2v21059780m	FAR1-related sequence 6
OG0000001	YuYa2v21060615m	FAR1-related sequence 6
OG0000001	YuYa2v21060619m	FAR1-related sequence 6
OG0000001	YuYa2v21060869m	FAR1-related sequence 6
OG0000001	YuYa2v21061099m	FAR1-related sequence 6
OG0000001	YuYa2v21062918m	FAR1-related sequence 6
OG0000001	YuYa2v21063701m	FAR1-related sequence 6
OG0000001	YuYa2v21066234m	FAR1-related sequence 6
OG0000001	YuYa2v21067175m	FAR1-related sequence 6
OG0000001	YuYa2v21068024m	FAR1-related sequence 6
OG0000001	YuYa2v21069459m	FAR1-related sequence 6
OG0000001	YuYa2v21069583m	FAR1-related sequence 6
OG0000001	YuYa2v21070511m	FAR1-related sequence 6
OG0000001	YuYa2v21070643m	FAR1-related sequence 6
OG0000001	YuYa2v21071151m	FAR1-related sequence 6
OG0000001	YuYa2v21071214m	FAR1-related sequence 6
OG0000001	YuYa2v21071955m	FAR1-related sequence 6
OG0000001	YuYa2v21076744m	FAR1-related sequence 6
OG0000001	YuYa2v21076949m	FAR1-related sequence 6
OG0000001	YuYa2v21079334m	FAR1-related sequence 6
OG0000001	YuYa2v21081274m	FAR1-related sequence 6
OG0000001	YuYa2v21081373m	FAR1-related sequence 6
OG0000001	YuYa2v21081606m	FAR1-related sequence 6
OG0000001	YuYa2v21082941m	FAR1-related sequence 6
OG0000001	YuYa2v21083911m	FAR1-related sequence 6
OG0000001	YuYa2v21088551m	FAR1-related sequence 6
OG0000001	YuYa2v21090237m	FAR1-related sequence 6
OG0000001	YuYa2v21090417m	FAR1-related sequence 6
OG0000001	YuYa2v21091873m	FAR1-related sequence 6
OG0000001	YuYa2v21092560m	FAR1-related sequence 6
OG0000001	YuYa2v21092748m	FAR1-related sequence 6
OG0000001	YuYa2v21092832m	FAR1-related sequence 6
OG0000001	YuYa2v21093481m	FAR1-related sequence 6
OG0000001	YuYa2v21094074m	FAR1-related sequence 6
OG0000001	YuYa2v21095859m	FAR1-related sequence 6
OG0000001	YuYa2v21095970m	FAR1-related sequence 6
OG0000002	YuYa2v21002363m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21002364m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21002365m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21002954m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010096m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010099m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010134m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010137m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010140m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010141m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010142m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010146m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010219m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21010887m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21013165m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21013754m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21014881m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21019688m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21021522m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21021524m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21021528m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21021530m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21023750m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21029554m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21030015m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21034293m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21035115m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21035422m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21038055m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21038161m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21039333m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21039337m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21039553m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21042811m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21042813m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21042820m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21042822m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21042904m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21048568m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21052165m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21052170m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21052171m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21053084m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21053258m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21053260m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21066255m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21066257m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21070169m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21076651m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21077337m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000002	YuYa2v21095166m	"cytochrome P450, family 71, subfamily A, polypeptide 18"
OG0000003	YuYa2v21007680m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21007689m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046353m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046355m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046527m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046528m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046529m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046530m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046533m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046534m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046535m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21046538m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21047288m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21047295m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21047311m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21047322m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21050933m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21050935m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21051555m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21051586m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21051593m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21060664m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21060666m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21063908m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21063909m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21064065m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21064066m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21064068m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21064070m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21064073m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21064628m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21066691m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000003	YuYa2v21077637m	cysteine-rich RLK (RECEPTOR-like protein kinase) 4
OG0000004	YuYa2v21002324m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21005043m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21019911m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21025131m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21027259m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21027491m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21030505m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21030510m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21030534m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21030606m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21033896m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21033902m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21041410m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21041656m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21041671m	Leucine-rich repeat protein kinase family protein
OG0000004	YuYa2v21042674m	Leucine-rich repeat protein kinase family protein
